This file saves data from each experiment. When it is started.
What its name is, of both catalyst and the Spectrophotmeter file.
The number of samples, the time when the auto sampler is commanded to start,
and the light intensity at that moment.

These data are usefull in order to recreate the plots with use of the Parse data script.

#####################################################################################################

Date        Name exp    Catalyst    samples t=0         I(t=0)

#####################################################################################################
2017/05/12	N-AUTO-033	Mes-Acr	    16		213.627		41351.9649
2017/05/12	N-AUTO-034	Mes-Acr		10		308.481		47236.9605
2017/06/08	Ceci-001	RA-48		16		365.979		58718.713
2017/06/08	Ceci-002	RA-48		16		351.222		63619.5709
2017/06/12	Ceci-003	RA-48		12		375.355		23230.6349
2017/06/13	Ceci-004	RA-48		14		260.311		17753.518
2017/10/05	Koen-001	2CzPN		14		409.809		345095.5664
2017/10/11	Koen-20171011-1	2CzPN		6		199.851		454558.953
2017/10/19	Koen-20171019-1	2CzPN		8		297.971		447343.4616
2017/10/20	Koen-20171020-1	Ir[dF(CF3)ppy]2(dtbpy)		8		497.197		25799.119
2017/10/20	Koen-20171020-2	Ir[dF(CF3)ppy]2(dtbpy)		8		312.099		162017.6426
2017/10/24	Koen-20171024-1	2CzPN		11		341.227		360571.5993
2017/10/25	Koen-20171025-1	2CzPN		11		375.691		634249.8242
2017/10/25	Koen-20171025-2	2CzPN		11		388.193		490572.856
2017/11/02	Koen-20171102-1	2CzPN		16		381.524		522414.8806
2017/11/03	Koen-20171103-1	2CzPN		10		311.812		390239.2079
2017/11/03	Koen-20171103-2	2CzPN		14		472.744		481092.1655
2017/11/03	Koen-20171103-2	2CzPN		14		395.562		521024.2137
2017/11/27	KK-20171127-1	9-Mesityl-10-methylacridinium P		6		188.432		292731.8998
2018/02/28	KK-20180228-1	4CzIPN		6		172.357		2093025.4709
2018/02/28	KK-20180228-1	4CzIPN		6		191.709		-14481.7685
2018/02/28	KK-20180228-1	4CzIPN		6		144.951		1587804.3769
2018/03/01	KK-20180301-1	4CzIPN		6		182.623		1719329.8983
2018/03/01	KK-20180301-2	fac-Ir(ppy)3		6		147.806		34343.5584
2018/03/01	KK-20180301-2	fac-Ir(ppy)3		6		224.508		43945.131
2018/03/01	KK-20180301-3	fac-Ir(ppy)3		6		86.956		36693.9501
2018/03/01	KK-20180301-3	fac-Ir(ppy)3		6		190.594		36875.7263
2018/03/02	KK-20180302-1	fac-Ir(ppy)3		6		192.427		39024.6687
2018/03/02	KK-20180302-2	Ru(bpy)3Cl2		6		147.341		1038397.4482
2018/03/08	KK-20180308-1	Ru(bpy)3Cl2		6		156.082		659321.1152
2018/03/08	KK-20180308-2	9-Mesityl-10-methylacridinium P		6		148.304		771999.856
2018/03/09	KK-20180309-1	Ru(bpy)3Cl2		6		132.87		1228486.403
2018/03/09	KK-20180309-1	Ru(bpy)3Cl2		6		134.936		886499.8722
2018/03/09	KK-20180309-1	Ru(bpy)3Cl2		6		168.577		1275443.1316
2018/03/09	KK-20180309-2	4CzIPN		6		177.641		1409901.6224
2018/03/09	KK-20180309-3	4CzIPN		6		146.264		1582446.5019
2018/03/12	KK-20180312-1	2CzPN		6		221.74		134937.5275
2018/03/12	KK-20180312-1	2CzPN		6		232.455		115676.6346
2018/03/28	KK-20180328-1	4CzIPN		6		84.867		1605812.0916
2018/03/28	KK-20180328-2	4CzIPN		6		166.815		1726316.7461
2018/03/28	KK-20180328-2	4CzIPN		6		96.347		2019746.4568
2018/03/28	KK-20180328-2	4CzIPN		6		127.584		1558981.0132
2018/03/29	KK-20180329-1	4CzIPN		6		95.242		2017745.0837
2018/03/29	KK-20180329-2	4CzIPN		6		176.064		1645617.0104
2018/03/30	KK-20180330-1	4CzIPN		6		128.241		1921205.7989
